timestamp_utc,symbol,action,price,score,label,reason,price_1h_later,price_1d_later,price_3d_later,return_1h_pct,return_1d_pct,return_3d_pct
2026-05-03T17:46:40.705155+00:00,NVDAx/USD,HOLD,201.18,-35,NEUTRAL,"Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",198.59,198.59,223.11,-1.2874043145441911,-1.2874043145441911,10.900685952878025
2026-05-03T17:46:41.265663+00:00,TSLAx/USD,HOLD,408.26,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",391.97,391.97,418.25,-3.9901043452701614,-3.9901043452701614,2.446970068093864
2026-05-03T17:46:41.711967+00:00,MSFTx/USD,HOLD,421.76,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",414.88,414.88,412.09708,-1.631259484066767,-1.631259484066767,-2.291094461305004
2026-05-03T17:46:42.097737+00:00,AMZNx/USD,HOLD,262.35,-55,NEGATIVE WATCH,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",271.4,271.4,264.26,3.449590242043054,3.449590242043054,0.728035067657697
2026-05-03T17:54:12.476418+00:00,AAPLx/USD,HOLD,280.13,15,NEUTRAL,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is moderate.,277.19,277.19,298.43,-1.0495127262342476,-1.0495127262342476,6.532681255131551
2026-05-03T17:54:12.917272+00:00,NVDAx/USD,HOLD,201.18,-35,NEUTRAL,"Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",198.59,198.59,223.11,-1.2874043145441911,-1.2874043145441911,10.900685952878025
2026-05-03T17:54:13.349069+00:00,TSLAx/USD,HOLD,408.26,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",391.97,391.97,418.25,-3.9901043452701614,-3.9901043452701614,2.446970068093864
2026-05-03T17:54:13.758512+00:00,MSFTx/USD,HOLD,421.76,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",414.88,414.88,412.09708,-1.631259484066767,-1.631259484066767,-2.291094461305004
2026-05-03T17:54:14.296831+00:00,AMZNx/USD,HOLD,262.35,-55,NEGATIVE WATCH,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",271.4,271.4,264.26,3.449590242043054,3.449590242043054,0.728035067657697
2026-05-03T17:55:43.593136+00:00,AAPLx/USD,HOLD,280.13,15,NEUTRAL,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is moderate.,277.19,277.19,298.43,-1.0495127262342476,-1.0495127262342476,6.532681255131551
2026-05-03T17:55:44.084585+00:00,NVDAx/USD,HOLD,201.18,-35,NEUTRAL,"Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",198.59,198.59,223.11,-1.2874043145441911,-1.2874043145441911,10.900685952878025
2026-05-03T17:55:44.502170+00:00,TSLAx/USD,HOLD,408.26,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",391.97,391.97,418.25,-3.9901043452701614,-3.9901043452701614,2.446970068093864
2026-05-03T17:55:44.897170+00:00,MSFTx/USD,HOLD,421.76,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",414.88,414.88,412.09708,-1.631259484066767,-1.631259484066767,-2.291094461305004
2026-05-03T17:55:45.286349+00:00,AMZNx/USD,HOLD,262.35,-55,NEGATIVE WATCH,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",271.4,271.4,264.26,3.449590242043054,3.449590242043054,0.728035067657697
2026-05-03T18:04:24.189945+00:00,AAPLx/USD,HOLD,280.13,15,NEUTRAL,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is moderate.,277.19,277.19,298.43,-1.0495127262342476,-1.0495127262342476,6.532681255131551
2026-05-03T18:04:24.627385+00:00,NVDAx/USD,HOLD,201.18,-35,NEUTRAL,"Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",198.59,198.59,223.11,-1.2874043145441911,-1.2874043145441911,10.900685952878025
2026-05-03T18:04:25.033280+00:00,TSLAx/USD,HOLD,408.26,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",391.97,391.97,418.25,-3.9901043452701614,-3.9901043452701614,2.446970068093864
2026-05-03T18:04:25.425276+00:00,MSFTx/USD,HOLD,421.76,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",414.88,414.88,412.09708,-1.631259484066767,-1.631259484066767,-2.291094461305004
2026-05-03T18:04:25.809346+00:00,AMZNx/USD,HOLD,262.35,-55,NEGATIVE WATCH,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",271.4,271.4,264.26,3.449590242043054,3.449590242043054,0.728035067657697
2026-05-03T18:07:48.237572+00:00,AAPLx/USD,HOLD,280.13,15,NEUTRAL,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is moderate.,277.19,277.19,298.43,-1.0495127262342476,-1.0495127262342476,6.532681255131551
2026-05-03T18:07:48.654278+00:00,NVDAx/USD,HOLD,201.18,-35,NEUTRAL,"Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",198.59,198.59,223.11,-1.2874043145441911,-1.2874043145441911,10.900685952878025
2026-05-03T18:07:49.067381+00:00,TSLAx/USD,HOLD,408.26,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",391.97,391.97,418.25,-3.9901043452701614,-3.9901043452701614,2.446970068093864
2026-05-03T18:07:49.443000+00:00,MSFTx/USD,HOLD,421.76,5,NEUTRAL,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",414.88,414.88,412.09708,-1.631259484066767,-1.631259484066767,-2.291094461305004
2026-05-03T18:07:49.938025+00:00,AMZNx/USD,HOLD,262.35,-55,NEGATIVE WATCH,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",271.4,271.4,264.26,3.449590242043054,3.449590242043054,0.728035067657697
